"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
700151002,2000003092,"mimiciv_proc_itemid","Procedure","Procedure",,228169,"1970-01-01","2099-12-31",,45763688,"Maps to","Mapped from","1970-01-01","2099-12-31",
392247006,2000003093,"mimiciv_proc_itemid","Procedure","Procedure",,225752,"1970-01-01","2099-12-31",,4213288,"Maps to","Mapped from","1970-01-01","2099-12-31",
233527006,2000003094,"mimiciv_proc_itemid","Procedure","Procedure",,224263,"1970-01-01","2099-12-31",,4052413,"Maps to","Mapped from","1970-01-01","2099-12-31",
233527006,2000003095,"mimiciv_proc_itemid","Procedure","Procedure",,224267,"1970-01-01","2099-12-31",,4052413,"Maps to","Mapped from","1970-01-01","2099-12-31",
233527006,2000003096,"mimiciv_proc_itemid","Procedure","Procedure",,227719,"1970-01-01","2099-12-31",,4052413,"Maps to","Mapped from","1970-01-01","2099-12-31",
233527006,2000003097,"mimiciv_proc_itemid","Procedure","Procedure",,224268,"1970-01-01","2099-12-31",,4052413,"Maps to","Mapped from","1970-01-01","2099-12-31",
233527006,2000003098,"mimiciv_proc_itemid","Procedure","Procedure",,225199,"1970-01-01","2099-12-31",,4052413,"Maps to","Mapped from","1970-01-01","2099-12-31",
235159007,2000003099,"mimiciv_proc_itemid","Procedure","Procedure",,225446,"1970-01-01","2099-12-31",,4122234,"Maps to","Mapped from","1970-01-01","2099-12-31",
428311008,2000003100,"mimiciv_proc_itemid","Procedure","Procedure",,225794,"1970-01-01","2099-12-31",,4177224,"Maps to","Mapped from","1970-01-01","2099-12-31",
233175008,2000003101,"mimiciv_proc_itemid","Procedure","Procedure",,226477,"1970-01-01","2099-12-31",,4049398,"Maps to","Mapped from","1970-01-01","2099-12-31",
61740001,2000003102,"mimiciv_proc_itemid","Procedure","Procedure",,224270,"1970-01-01","2099-12-31",,4267880,"Maps to","Mapped from","1970-01-01","2099-12-31",
173676001,2000003103,"mimiciv_proc_itemid","Procedure","Procedure",,226476,"1970-01-01","2099-12-31",,4067105,"Maps to","Mapped from","1970-01-01","2099-12-31",
29303009,2000003104,"mimiciv_proc_itemid","Procedure","Procedure",,225402,"1970-01-01","2099-12-31",,4163951,"Maps to","Mapped from","1970-01-01","2099-12-31",
235212007,2000003105,"mimiciv_proc_itemid","Procedure","Procedure",,225429,"1970-01-01","2099-12-31",,4125150,"Maps to","Mapped from","1970-01-01","2099-12-31",
425196008,2000003106,"mimiciv_proc_itemid","Procedure","Procedure",,224264,"1970-01-01","2099-12-31",,4322380,"Maps to","Mapped from","1970-01-01","2099-12-31",
425196008,2000003107,"mimiciv_proc_itemid","Procedure","Procedure",,225204,"1970-01-01","2099-12-31",,4322380,"Maps to","Mapped from","1970-01-01","2099-12-31",
73761001,2000003108,"mimiciv_proc_itemid","Procedure","Procedure",,225434,"1970-01-01","2099-12-31",,4249893,"Maps to","Mapped from","1970-01-01","2099-12-31",
34945008,2000003109,"mimiciv_proc_itemid","Procedure","Procedure",,225430,"1970-01-01","2099-12-31",,4148369,"Maps to","Mapped from","1970-01-01","2099-12-31",
54550000,2000003110,"mimiciv_proc_itemid","Procedure","Procedure",,221223,"1970-01-01","2099-12-31",,4181917,"Maps to","Mapped from","1970-01-01","2099-12-31",
29857009,2000003111,"mimiciv_proc_itemid","Procedure","Procedure",,225465,"1970-01-01","2099-12-31",,77670,"Maps to","Mapped from","1970-01-01","2099-12-31",
16310003,2000003112,"mimiciv_proc_itemid","Procedure","Procedure",,221217,"1970-01-01","2099-12-31",,4037672,"Maps to","Mapped from","1970-01-01","2099-12-31",
36118008,2000003113,"mimiciv_proc_itemid","Procedure","Procedure",,225472,"1970-01-01","2099-12-31",,253796,"Maps to","Mapped from","1970-01-01","2099-12-31",
